J#,Player,Pos,Vertical Jump (Jump Mat),Vertical Jump (Jump Mat) Video Upload,Did not test?,Reason for not testing
28,"ADAMS II, SAM",RB,,,,
67,"ANDERSON, AIDAN",OL,,,,
0,"AZZOPARDI, DREW",OL,,,,
55,"BANDES, JACOB",DL,,,,
19,"BARKINS, DARREN",CB,,,,
12,"BOSTON, DENZEL",WR,,,,
0,"BOYAJYAN, DAVIT",OL,,,,
0,"BROUSSARD, CAMERON",S,,,,
42,"BRUENER, CARSON",LB,,,,
17,"BRYANT, DEVEN",LB,,,,
23,"BRYANT, LEROY",CB,,,,
25,"BUMGARNER, RYDER",RB,,,,
0,"BURTON, JACE",CB,,,,
0,"BUTLER, BRYCE",DL,,,,
0,"CLARK, RASHAWN",CB,,,,
63,"CLEELAND, ROICE",OL,,,,
0,"COLEMAN, JONAH",RB,,,,
36,"COUTTS, OWEN",TE,,,,
54,"CROSS, PARKER",OL,,,,
0,"CROWELL, CHARLIE",TE,,,,
22,"DAVIS, CAM",RB,,,,
0,"DAVIS, DEUCE",EDGE,,,,
90,"DAVIS, ELINNEUS",DL,,,,
0,"DEGRAAF, DECKER",TE,,,,
9,"DIXON, THADDEUS",CB,,,,
12,"DUNN, TRISTAN",S,,,,
15,"DURFEE, ZACH",EDGE,,,,
24,"ESTEEN, MAKELL",S,,,,
68,"FAASOLO, SOANE",OL,,,,
13,"FABICULANAN, KAM",S,,,,
0,"FINAU, PAKI",OL,,,,
0,"FINNEGAN, SAM",K,,,,
54,"FOWLER, DREW",LB,,,,
0,"GAYTON, LUKE",WR,,,,
84,"GIROUARD, JACKSON",WR,,,,
0,"GREEN, KEVIN",WR,,,,
0,"GREENE, KAYDEN",S,,,,
95,"GROSS, GRADY",K,,,,
0,"HARRINGTON, JUSTIN",S,,,,
0,"HARRIS, AUDRIC",WR,,,,
66,"HATCHETT, LANDEN",OL,,,,
45,"HEIMS, MAURICE",EDGE,,,,
58,"HENNING, ZACH",OL,,,,
18,"HOLMES, VINCE",WR,,,,
41,"HOLTZCLAW, LANCE",EDGE,,,,
52,"HOPKINS JR, MILTON",EDGE,,,,
0,"HOUSE, KHMORI",LB,,,,
0,"HUNTER, JEREMIAH",WR,,,,
0,"HYLKEMA, JUSTIN",OL,,,,
76,"JACKETT, ELISHAH",OL,,,,
25,"JACKSON, ELIJAH",CB,,,,
0,"JACKSON, GILES",WR,,,,
88,"JENNINGS, JAKE",EDGE,,,,
0,"JOHNSON, ELIAS",CB,,,,
0,"JOHNSON, TYRESE",EDGE,,,,
82,"JOHNSTON, CALEB",LS,,,,
0,"KHAN, OMAR",DL,,,,
0,"KUYKENDALL, SHEA",QB,,,,
48,"LANE, JACOB",EDGE,,,,
0,"LATU, KELEKI",TE,,,,
53,"LISHERNESS, LOGAN",LB,,,,
31,"LUCHINI, LUKE",WR,,,,
0,"LYNCH, DESHAWN",EDGE,,,,
38,"MCCALLISTER, JACK",P,,,,
0,"MCCREE, MAXIMUS",OL,,,,
19,"MCCUTCHEON, DYSON",S,,,,
64,"MEMMELAAR, GAARD",OL,,,,
0,"MENCKE JR, PAUL",S,,,,
49,"MILLER, GRIFFIN",LB,,,,
0,"MOHAMMED, ADAM",RB,,,,
0,"MOORE, HAYDEN",LB,,,,
88,"MOORE, QUENTIN",TE,,,,
40,"NAGARAJAN, ANAY",CB,,,,
21,"NGATA, DANIYEL",RB,,,,
87,"OTTON, RYAN",TE,,,,
0,"PARHAM, BRYUN",LB,,,,
95,"PARKER, ARMON",DL,,,,
94,"PARKER, JAYVON",DL,,,,
96,"PETZ, TROY",P,,,,
2,"PRESLEY, CALEB",CB,,,,
0,"PRYSOCK, EPHESIANS",CB,,,,
17,"PURCELL, TEDDY",QB,,,,
16,"REED, CURLEY",CB,,,,
89,"REYNOLDS, KEITH",WR,,,,
0,"ROBINSON, JASON",WR,,,,
0,"ROGERS, WILL",QB,,,,
0,"SAGAPOLU, LOGAN",DL,,,,
43,"SAUL, ADAM",P,,,,
0,"SCHWARTZ, WILSON",TE,,,,
0,"SHAW, JORDAN",CB,,,,
18,"SIRMON, CAMDEN",WR,,,,
74,"TAFAI, KAHLEE",OL,,,,
0,"TITIALII, D&#39;ANGALO",OL,,,,
90,"TUNUUFI, VOI",DL,,,,
11,"TUPUTALA, ALPHONZO",LB,,,,
0,"VALDEZ, SEBASTIAN",DL,,,,
0,"VIMAHI, ENOKK",OL,,,,
0,"WARCHUCK, CAMERON",LS,,,,
0,"WARD, ANTHONY",LB,,,,
0,"WARD, ISAIAH",EDGE,,,,
32,"WARNER, TRISTAN",S,,,,
0,"WASHINGTON, JORDAN",RB,,,,
0,"WATERS, PEYTON",S,,,,
0,"WATKINS, MICHAEL",OL,,,,
0,"WAYNE, JAYDEN",EDGE,,,,
0,"WILLIAMS, DEMOND",QB,,,,
0,"WILLIAMS, JUSTICE",WR,,,,
3,"WILLIAMS, RASHID",WR,,,,
0,"WRIGHT, RAHIM",S,,,,